Date,Fuel_Price
2019-04-22,91.561750596
2019-04-25,70.39
2019-04-27,70.44
2019-04-30,70.49
2019-05-02,70.43
2019-05-04,70.44
2019-05-05,70.38
2019-05-06,70.31
2019-05-09,70.16
2019-05-10,69.96
2019-05-11,69.49
2019-05-12,69.09
2019-05-13,68.8
2019-05-14,68.56
2019-05-17,68.48
2019-05-18,68.41
2019-05-20,68.5
2019-05-21,68.55
2019-05-23,68.63
2019-05-24,68.76
2019-05-25,68.9
2019-05-26,69.03
2019-05-27,69.13
2019-05-28,69.21
2019-05-30,69.16
2019-05-31,69.09
2019-06-01,69.05
2019-06-02,68.94
2019-06-03,68.74
2019-06-04,68.68
2019-06-06,68.52
2019-06-07,68.4
2019-06-10,67.91
2019-06-13,67.83
2019-06-14,67.67
2019-06-15,67.48
2019-06-16,67.42
2019-06-24,67.54
2019-06-27,67.61
2019-06-28,67.66
2019-06-29,67.76
2019-06-30,67.85
2019-07-01,67.94
2019-07-02,68.01
2019-07-06,70.36
2019-07-09,70.31
2019-07-13,70.4
2019-07-14,70.48
2019-07-15,70.61
2019-07-16,70.67
2019-07-18,70.74
2019-07-23,70.8
2019-07-25,70.74
2019-07-26,70.69
2019-07-27,70.64
2019-07-28,70.54
2019-07-29,70.4
2019-07-30,70.27
2019-08-01,70.21
2019-08-02,70.06
2019-08-03,69.99
2019-08-04,69.9
2019-08-05,69.76
2019-08-06,69.67
2019-08-08,69.63
2019-08-09,69.49
2019-08-11,69.4
2019-08-18,69.32
2019-08-19,69.26
2019-08-24,69.33
2019-08-25,69.4
2019-08-26,69.48
2019-08-29,69.42
2019-09-05,69.39
2019-09-06,69.31
2019-09-07,69.22
2019-09-08,69.16
2019-09-10,69.21
2019-09-12,69.27
2019-09-13,69.34
2019-09-14,69.41
2019-09-15,69.47
2019-09-17,69.61
2019-09-18,69.85
2019-09-19,70.13
2019-09-20,70.46
2019-09-21,70.74
2019-09-22,71.0
2019-09-23,71.28
2019-09-24,71.49
2019-09-26,71.55
2019-09-27,71.7
2019-09-30,71.77
2019-10-01,71.98
2019-10-03,71.88
2019-10-04,71.71
2019-10-05,71.43
2019-10-07,71.16
2019-10-08,71.0
2019-10-10,70.95
2019-10-11,70.83
2019-10-12,70.74
2019-10-15,70.69
2019-10-22,70.64
2019-10-24,70.59
2019-10-25,70.49
2019-10-26,70.41
2019-10-29,70.35
2019-11-01,70.24
2019-11-02,70.17
2019-11-03,70.12
2019-11-04,70.04
2019-11-05,69.99
2019-11-08,70.08
2019-11-09,70.23
2019-11-10,70.42
2019-11-11,70.57
2019-11-13,70.66
2019-11-14,70.81
2019-11-15,70.98
2019-11-16,71.12
2019-11-17,71.23
2019-11-18,71.39
2019-11-19,71.53
2019-11-22,71.67
2019-11-23,71.76
2019-11-24,71.86
2019-11-25,71.97
2019-11-26,72.07
2019-11-29,72.12
2019-11-30,72.173
2019-12-01,72.28
2019-12-07,72.19
2019-12-08,72.28
2019-12-09,72.33
2019-12-10,72.34
2019-12-12,72.29
2019-12-13,72.23
2019-12-14,72.18
2019-12-15,72.09
2019-12-16,72.04
2019-12-17,71.99
2019-12-19,71.98
2019-12-26,72.03
2019-12-27,72.09
2019-12-29,72.22
2019-12-30,72.38
2019-12-31,72.47
2020-01-02,72.6
2020-01-03,72.69
2020-01-04,72.79
2020-01-05,72.88
2020-01-06,73.02
2020-01-07,73.17
2020-01-08,73.07
2020-01-09,73.14
2020-01-10,73.28
2020-01-11,73.33
2020-01-12,73.23
2020-01-13,73.13
2020-01-14,73.03
2020-01-16,72.89
2020-01-17,72.75
2020-01-18,72.61
2020-01-19,72.44
2020-01-20,72.34
2020-01-21,72.18
2020-01-23,72.0
2020-01-24,71.78
2020-01-25,71.53
2020-01-26,71.23
2020-01-27,71.11
2020-01-28,71.01
2020-01-30,70.77
2020-01-31,70.69
2020-02-01,70.56
2020-02-02,70.46
2020-02-03,70.41
2020-02-04,70.36
2020-02-06,70.27
2020-02-07,70.07
2020-02-08,69.84
2020-02-09,69.63
2020-02-10,69.53
2020-02-11,69.37
2020-02-18,69.32
2020-02-24,69.44
2020-02-27,69.39
2020-02-29,69.32
2020-03-01,69.19
2020-03-02,68.98
2020-03-03,68.93
2020-03-05,68.78
2020-03-06,68.64
2020-03-07,68.52
2020-03-08,68.34
2020-03-09,68.11
2020-03-10,67.81
2020-03-12,67.68
2020-03-13,67.54
