Series,Model,MAE,RMSE,MAPE,SMAPE,AIC
Fuel_Price,XGBoost,2.07,2.46,2.12,2.12,N/A
Fuel_Price,RandomForest,4.2,4.75,4.25,4.37,N/A
Fuel_Price,Ensemble,4.39,5.35,4.54,4.42,N/A
Fuel_Price,Rolling_SARIMA,5.8,6.85,5.97,5.76,N/A
Fuel_Price,SARIMA_GridSearch,6.79,8.7,7.08,6.7,24.5
Fuel_Price,SARIMA_RandomSearch,6.79,8.7,7.08,6.7,24.5
Fuel_Price,SARIMA_Default,16.36,18.25,16.95,15.33,40.7
Fuel_Price,Hybrid_SARIMA_LSTM,16.36,18.25,16.95,15.33,N/A
Fuel_Price,Prophet,37.0,39.88,38.04,35.16,N/A
Gram,RandomForest,0.2,0.33,0.26,0.26,N/A
Gram,Ensemble,0.45,0.89,0.59,0.58,N/A
Gram,Rolling_SARIMA,0.5,1.23,0.66,0.65,N/A
Gram,SARIMA_GridSearch,0.51,1.26,0.68,0.67,-100.0
Gram,SARIMA_Default,0.55,1.36,0.73,0.72,-51.5
Gram,Hybrid_SARIMA_LSTM,0.55,1.36,0.73,0.72,N/A
Gram,SARIMA_RandomSearch,0.63,1.55,0.84,0.82,-77.6
Gram,XGBoost,0.64,0.68,0.84,0.84,N/A
Gram,Prophet,0.94,1.35,1.24,1.22,N/A
Gur,SARIMA_Default,0.08,0.2,0.16,0.16,-58.3
Gur,Hybrid_SARIMA_LSTM,0.08,0.2,0.16,0.16,N/A
Gur,Rolling_SARIMA,0.08,0.2,0.16,0.16,N/A
Gur,XGBoost,0.09,0.12,0.18,0.18,N/A
Gur,Ensemble,0.09,0.2,0.19,0.18,N/A
Gur,RandomForest,0.16,0.19,0.32,0.32,N/A
Gur,SARIMA_GridSearch,0.21,0.52,0.42,0.42,-109.4
Gur,SARIMA_RandomSearch,0.21,0.52,0.42,0.42,-109.4
Gur,Prophet,1.49,1.83,2.95,3.01,N/A
Milk,SARIMA_GridSearch,0.19,0.46,0.33,0.33,-130.3
Milk,SARIMA_RandomSearch,0.19,0.46,0.33,0.33,-130.3
Milk,Ensemble,0.2,0.41,0.35,0.34,N/A
Milk,Rolling_SARIMA,0.32,0.77,0.55,0.55,N/A
Milk,SARIMA_Default,0.32,0.78,0.56,0.55,-36.9
Milk,Hybrid_SARIMA_LSTM,0.32,0.78,0.56,0.55,N/A
Milk,RandomForest,0.78,1.46,1.4,1.43,N/A
Milk,XGBoost,1.03,1.66,1.86,1.91,N/A
Milk,Prophet,2.62,2.88,4.83,4.7,N/A
Moong,XGBoost,0.59,0.71,0.55,0.55,N/A
Moong,RandomForest,0.6,0.73,0.56,0.57,N/A
Moong,Rolling_SARIMA,1.22,1.29,1.15,1.15,N/A
Moong,Ensemble,1.28,1.6,1.2,1.21,N/A
Moong,SARIMA_RandomSearch,1.63,2.01,1.53,1.55,-10.6
Moong,Prophet,2.56,3.01,2.41,2.45,N/A
Moong,SARIMA_GridSearch,6.13,7.79,5.75,6.03,-12.1
Moong,SARIMA_Default,10.36,13.88,9.71,10.66,-9.5
Moong,Hybrid_SARIMA_LSTM,10.36,13.88,9.71,10.66,N/A
Mustard,XGBoost,1.57,2.5,0.86,0.85,N/A
Mustard,RandomForest,1.69,2.88,0.93,0.92,N/A
Mustard,Ensemble,3.75,8.1,2.07,1.98,N/A
Mustard,SARIMA_GridSearch,8.18,20.05,4.55,4.0,-102.2
Mustard,SARIMA_Default,8.84,21.66,4.91,4.28,-30.4
Mustard,Hybrid_SARIMA_LSTM,8.84,21.66,4.91,4.28,N/A
Mustard,Prophet,8.96,20.98,4.97,4.38,N/A
Mustard,Rolling_SARIMA,9.42,23.08,5.23,4.52,N/A
Mustard,SARIMA_RandomSearch,10.29,25.2,5.71,4.88,-76.2
Onion_Price,Rolling_SARIMA,4.14,5.16,13.53,12.88,N/A
Onion_Price,SARIMA_GridSearch,6.13,6.76,19.91,17.82,-26.5
Onion_Price,SARIMA_RandomSearch,6.13,6.76,19.91,17.82,-26.5
Onion_Price,XGBoost,7.63,8.39,24.87,21.66,N/A
Onion_Price,RandomForest,7.7,8.83,24.9,21.44,N/A
Onion_Price,Ensemble,8.0,8.85,25.93,22.45,N/A
Onion_Price,SARIMA_Default,10.32,11.84,33.38,27.5,13.9
Onion_Price,Hybrid_SARIMA_LSTM,10.32,11.84,33.38,27.5,N/A
Onion_Price,Prophet,18.08,19.67,58.51,43.95,N/A
Palm,RandomForest,2.65,3.87,2.11,2.06,N/A
Palm,XGBoost,4.17,6.59,3.34,3.23,N/A
Palm,Ensemble,4.57,10.08,3.71,3.4,N/A
Palm,SARIMA_Default,5.79,14.17,4.72,4.13,-54.0
Palm,Hybrid_SARIMA_LSTM,5.79,14.17,4.72,4.13,N/A
Palm,Rolling_SARIMA,5.88,14.4,4.79,4.19,N/A
Palm,SARIMA_GridSearch,5.91,14.47,4.82,4.21,-127.3
Palm,SARIMA_RandomSearch,5.91,14.47,4.82,4.21,-127.3
Palm,Prophet,17.87,23.17,14.19,12.7,N/A
Potato_Price,Ensemble,1.3,1.6,4.52,4.37,N/A
Potato_Price,XGBoost,1.45,1.63,4.91,5.0,N/A
Potato_Price,Rolling_SARIMA,1.69,2.15,5.9,5.99,N/A
Potato_Price,RandomForest,2.6,2.87,8.7,9.12,N/A
Potato_Price,SARIMA_Default,2.89,3.37,9.76,9.16,20.1
Potato_Price,Hybrid_SARIMA_LSTM,2.89,3.37,9.76,9.16,N/A
Potato_Price,Prophet,2.9,3.23,10.07,9.82,N/A
Potato_Price,SARIMA_GridSearch,3.24,3.82,10.88,10.12,-26.8
Potato_Price,SARIMA_RandomSearch,3.24,3.82,10.88,10.12,-26.8
Salt,SARIMA_Default,0.12,0.3,0.57,0.58,-59.4
Salt,SARIMA_GridSearch,0.12,0.3,0.57,0.58,-102.3
Salt,SARIMA_RandomSearch,0.12,0.3,0.57,0.58,-55.4
Salt,Hybrid_SARIMA_LSTM,0.12,0.3,0.57,0.58,N/A
Salt,Rolling_SARIMA,0.16,0.38,0.73,0.74,N/A
Salt,Ensemble,0.17,0.39,0.8,0.81,N/A
Salt,XGBoost,0.52,1.09,2.48,2.62,N/A
Salt,RandomForest,0.62,1.13,2.99,3.13,N/A
Salt,Prophet,0.64,0.76,3.27,3.34,N/A
Soya,XGBoost,1.39,2.05,0.93,0.94,N/A
Soya,Ensemble,2.38,4.89,1.51,1.47,N/A
Soya,RandomForest,2.46,4.05,1.58,1.61,N/A
Soya,Rolling_SARIMA,4.95,12.13,3.1,2.84,N/A
Soya,SARIMA_Default,4.97,12.16,3.11,2.84,-59.3
Soya,SARIMA_GridSearch,4.97,12.16,3.11,2.84,-138.5
Soya,SARIMA_RandomSearch,4.97,12.16,3.11,2.84,-138.5
Soya,Hybrid_SARIMA_LSTM,4.97,12.16,3.11,2.84,N/A
Soya,Prophet,6.09,10.47,3.91,3.73,N/A
Sugar,SARIMA_GridSearch,0.02,0.05,0.05,0.05,-112.8
Sugar,SARIMA_RandomSearch,0.02,0.05,0.05,0.05,-112.8
Sugar,RandomForest,0.1,0.2,0.23,0.24,N/A
Sugar,Ensemble,0.11,0.22,0.25,0.25,N/A
Sugar,SARIMA_Default,0.21,0.51,0.49,0.48,-56.3
Sugar,Hybrid_SARIMA_LSTM,0.21,0.51,0.49,0.48,N/A
Sugar,Rolling_SARIMA,0.21,0.51,0.49,0.48,N/A
Sugar,XGBoost,0.25,0.29,0.59,0.59,N/A
Sugar,Prophet,0.53,0.65,1.25,1.26,N/A
Tea,RandomForest,2.43,2.78,0.87,0.87,N/A
Tea,XGBoost,2.6,3.2,0.93,0.93,N/A
Tea,Ensemble,3.26,3.91,1.16,1.16,N/A
Tea,Rolling_SARIMA,7.54,10.87,2.67,2.6,N/A
Tea,SARIMA_GridSearch,11.25,12.39,4.01,3.91,-7.9
Tea,SARIMA_RandomSearch,11.25,12.39,4.01,3.91,-7.9
Tea,SARIMA_Default,24.82,35.54,8.79,8.09,31.1
